3FF     3B0     381     371     371     371     371     371     371     371     371     371     371     371     371     371
3B0     359     322     302     302     302     302     302     302     302     302     302     302     302     302     302
381     322     2DB     2BB     2AB     2AB     2A3     2A3     2A3     2A3     2A3     2A3     2A3     2A3     2A3     2A3
379     30A     2C3     29C     284     27C     27C     27C     27C     27C     27C     27C     27C     27C     27C     27C
379     302     2AB     284     26C     264     25C     25C     25C     25C     25C     25C     25C     25C     25C     25C
379     302     2AB     284     264     254     254     254     254     254     254     254     254     254     254     254
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D
379     302     2AB     27C     25C     254     24D     24D     24D     24D     24D     24D     24D     24D     24D     24D



3F3     396     352     335     32B     324     320     320     320     320     320     320     320     320     320     320
396     32B     2DF     2B8     2A5     29C     295     290     28D     28B     28A     289     289     289     288     288
352     2DF     287     25B     23D     232     225     220     21C     21A     218     217     216     215     214     214
339     2BD     260     22E     20B     1FB     1F2     1ED     1E8     1E6     1E4     1E2     1E1     1E0     1E0     1DF
32F     2A5     23D     20B     1E8     1D8     1C9     1C4     1BF     1BC     1BA     1B8     1B7     1B6     1B6     1B5
328     29C     232     200     1D8     1C3     1B9     1B3     1AE     1AB     1A9     1A7     1A6     1A5     1A4     1A4
325     295     229     1F2     1C9     1B9     1AA     1A4     19F     19C     199     198     197     196     195     194
325     290     224     1ED     1C4     1B3     1A4     19E     199     196     194     192     190     18F     18F     18E
